id,title,avg_rate,geek_rate,num_votes
151007,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,7.53,6.730,1477
327,Loopin' Louie,6.91,6.728,6484
71671,Yggdrasil,7.10,6.727,3031
4099,Keythedral,7.10,6.727,2778
27364,Caylus Magna Carta,6.98,6.727,4356
42910,Peloponnes,7.18,6.725,2243
165838,Space Hulk (fourth edition),8.09,6.725,936
41,Can't Stop,6.85,6.722,8848
124,Primordial Soup,6.98,6.720,4205
150999,Valley of the Kings,7.17,6.720,2384
160851,Lanterns: The Harvest Festival,7.06,6.719,3688
191977,The Castles of Burgundy: The Card Game,7.30,6.719,1938
34084,Witch's Brew,7.05,6.718,3276
39953,A Game of Thrones: The Card Game,6.98,6.716,5180
142326,Eight-Minute Empire: Legends,7.12,6.713,2728
30381,Hamburgum,7.08,6.710,2773
37628,Haggis,7.04,6.709,3198
30618,Eat Poop You Cat,7.47,6.709,1355
121410,Steam Park,7.00,6.707,3866
91080,Andean Abyss,7.59,6.706,1238
230,Merchant of Venus,7.18,6.706,2394
153016,Telestrations: 12 Player Party Pack,7.85,6.705,944
157403,Black Fleet,7.12,6.703,2718
37759,Incan Gold,6.85,6.703,7513
1634,Warhammer Quest,7.40,6.703,1949
177678,Signorie,7.58,6.701,1225
2507,Liberté,7.18,6.700,2217
157526,Viceroy,7.05,6.700,3155
8203,"Hey, That's My Fish!",6.78,6.699,14943
91873,Strasbourg,7.20,6.698,2056
68264,No Retreat! The Russian Front,7.81,6.698,989
44163,Power Grid: Factory Manager,6.91,6.698,5169
37836,Julius Caesar,7.81,6.698,1004
121297,Fleet,7.01,6.698,3416
1608,Ambush!,7.37,6.697,1785
91514,Rhino Hero,7.06,6.696,2973
91536,Quarriors!,6.83,6.694,11194
132372,Guildhall,7.04,6.694,3111
15126,Advanced Squad Leader: Starter Kit #2,7.88,6.692,927
19100,Hacienda,6.98,6.692,3696
25669,Qwirkle,6.82,6.691,9930
25821,The Werewolves of Miller's Hollow,6.89,6.690,6857
833,For the People,7.67,6.688,1125
152162,Diamonds,7.03,6.688,3110
